iter	TotalF1:average=Macro	MultiClass
0	0.4375425541	1.605542461
1	0.4378724202	1.601691505
2	0.4389007669	1.597884996
3	0.4372970353	1.59411372
4	0.4372636852	1.590390551
5	0.4368217419	1.586713049
6	0.4347721709	1.58306929
7	0.4360646133	1.579468758
8	0.4379107721	1.57590617
9	0.4378150682	1.572389926
10	0.4373088095	1.568912168
11	0.4382725022	1.56544254
12	0.4382176685	1.562033486
13	0.4379906215	1.55863988
14	0.4381410147	1.555301427
15	0.4385514917	1.551992786
16	0.4378611652	1.548701491
17	0.4374484703	1.545462504
18	0.4377371818	1.542248043
19	0.4378576068	1.539058788
20	0.4379020449	1.53590463
21	0.4380838482	1.532796547
22	0.4379683946	1.52969429
23	0.4379571067	1.526636751
24	0.4380325877	1.523599133
25	0.4381052428	1.520615448
26	0.438317013	1.517636913
27	0.4384475387	1.514697947
28	0.4383199307	1.511799634
29	0.4385089357	1.508906742
30	0.4386571162	1.506059517
31	0.4385739069	1.503229231
32	0.4388817374	1.500423201
33	0.4392292731	1.497660129
34	0.4392532081	1.494905187
35	0.4395583617	1.492171656
36	0.4391206512	1.489485012
37	0.4393266586	1.486813002
38	0.4396965908	1.484152918
39	0.4398129297	1.481512077
40	0.4401559544	1.47890945
41	0.4404009792	1.476318476
42	0.4403263312	1.473749456
43	0.4406121768	1.471214584
44	0.4405499791	1.468701258
45	0.4401199409	1.466216255
46	0.4403791946	1.4637322
47	0.4407989951	1.461288933
48	0.4414463002	1.458837265
49	0.4418088512	1.456428961
50	0.4417335152	1.454031498
51	0.4413382283	1.451655174
52	0.4411628264	1.44929999
53	0.4412448417	1.446967572
54	0.4419185964	1.444671877
55	0.4419000485	1.442377809
56	0.4423122533	1.440094717
57	0.4434074042	1.437822466
58	0.4435950737	1.435568644
59	0.4432051499	1.43336713
60	0.4431764576	1.431165209
61	0.4437174301	1.428993778
62	0.4437236035	1.426810016
63	0.443286536	1.424662706
64	0.4435060073	1.422541414
65	0.4437834781	1.420445599
66	0.4438326811	1.418337587
67	0.4436754225	1.4162705
68	0.4437448925	1.414213034
69	0.4440050873	1.412178063
70	0.4439521515	1.410149732
71	0.4440468203	1.408141998
72	0.444214324	1.40615554
73	0.444401699	1.40416461
74	0.4441835786	1.402209184
75	0.4443177456	1.400263379
76	0.444539008	1.398325163
77	0.4447942821	1.396425026
78	0.4454018982	1.394525837
79	0.4454686284	1.392627055
80	0.44569129	1.390751851
81	0.4458166697	1.38889318
82	0.4456841176	1.387052667
83	0.4454946771	1.385229229
84	0.4455552406	1.38340823
85	0.4461757179	1.381608642
86	0.4458713389	1.379818404
87	0.445757569	1.378045647
88	0.4460751227	1.376270587
89	0.4461096288	1.374502437
90	0.4465663665	1.372763829
91	0.4470110108	1.371045005
92	0.4470131867	1.36933892
93	0.4472238935	1.367633918
94	0.4471188624	1.365964827
95	0.4474451875	1.364308745
96	0.447019329	1.362651715
97	0.4471267961	1.360996582
98	0.4473679312	1.359354186
99	0.4471917235	1.357746482
100	0.4474688512	1.356127801
101	0.4477106198	1.354512779
102	0.4477985057	1.352921201
103	0.4475797056	1.351353607
104	0.4474527186	1.349774225
105	0.4477261709	1.348194029
106	0.4474861208	1.346660043
107	0.447300296	1.345138524
108	0.4473666544	1.343609958
109	0.4477794726	1.342083695
110	0.447907418	1.340581283
111	0.447950009	1.339089847
112	0.4477299268	1.337619822
113	0.4479211533	1.336128522
114	0.4481130622	1.33467652
115	0.4483218794	1.333223027
116	0.4481804611	1.331797043
117	0.448383654	1.330349242
118	0.4484232539	1.328922987
119	0.4486022805	1.327520176
120	0.4486501529	1.326106252
121	0.4488121405	1.324694768
122	0.4489192406	1.32330876
123	0.4489731284	1.321928714
124	0.4488017852	1.320582004
125	0.4488488771	1.319216865
126	0.4490066423	1.3178688
127	0.4491118601	1.316527239
128	0.4492638464	1.315195978
129	0.4492128881	1.31388572
130	0.4492942305	1.312588743
131	0.4493239105	1.311303826
132	0.4494509032	1.310014708
133	0.4494882958	1.308718544
134	0.4495661874	1.307451515
135	0.4496745169	1.306199934
136	0.4497640796	1.304942255
137	0.4498179661	1.303690538
138	0.4499041384	1.302444377
139	0.450029233	1.301205128
140	0.4499786551	1.299999756
141	0.450024791	1.298772025
142	0.4501225788	1.297565298
